ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and Time,Observer,Other - Observer,Site,Other - Site,Wetland ID,Start time,Air temperature (C),Relative humidity (%),Wind speed (m/s),Wetland area ponded (%),Max water depth (cm),Canopy closure (%),Emergent vegetation (%),Additional notes on wetland conditions,Did you detect any amphibians?,Species 1 observed,Species 1 life stage,Other - Species 1 life stage,Species 1 sweeps to first detection,Species 2 observed,Species 2 life stage,Other - Species 2 life stage,Species 2 sweeps to first detection,Species 3 observed,Species 3 life stage,Other - Species 3 life stage,Species 3 sweeps to first detection,Species 4 observed,Species 4 life stage,Other - Species 4 life stage,Species 4 sweeps to first detection,Species 5 observed,Species 5 life stage,Other - Species 5 life stage,Species 5 sweeps to first detection,Species 6 observed,Species 6 life stage,Other - Species 6 life stage,Species 6 sweeps to first detection,Species 7 observed,Species 7 life stage,Other - Species 7 life stage,Species 7 sweeps to first detection,Species 8 observed,Species 8 life stage,Other - Species 8 life stage,Species 8 sweeps to first detection,Species 9 observed,Species 9 life stage,Other - Species 9 life stage,Species 9 sweeps to first detection,Species 10 observed,Species 10 life stage,Other - Species 10 life stage,Species 10 sweeps to first detection,Species 11 observed,Species 11 life stage,Other - Species 11 life stage,Species 11 sweeps to first detection,Species 12 observed,Species 12 life stage,Other - Species 12 life stage,Species 13 observed,Species 13 life stage,Other - Species 13 life stage,Species 13 sweeps to first detection,Species 14 observed,Species 14 life stage,Other - Species 14 life stage,Species 14 sweeps to first detection,Species 15 observed,Species 15 life stage,Other - Species 15 life stage,Species 15 sweeps to first detection,Sweeps to first dragonfly nymph detection ,Sweeps to first larval Dytiscid detection,Sweeps to first adult Dytiscid detection,Sweeps to first giant water bug detection,Sweeps to first crayfish detection,Sweeps to first mosquitofish detection,Sweeps to first sunfish detection,Sweeps to first warmouth detection,Sweeps to first [other] fish detection,End time,Total number of sweeps,Notes,Animal Detection Form,Did you check the ARD?,ARD Actions,ARD Notes,Did you dipnet the wetland?,x,y
97,f4ce715d-54af-485a-8b7e-7d8ed26dfca4,2/16/2024 5:23:21 PM,cswaldro_USG,2/16/2024 5:23:21 PM,cswaldro_USG,2/16/2024 4:48:00 PM,other,Cole Harmon,Alapaha River WMA,,15,11:49,21,45,0.3,60,38,6-25,26-50,,Yes,Pseudacris ocularis,calling adult,,1,Pseudacris crucifer,calling adult,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,12:19,51,,,No,Changed_SD_card,,Yes,-83.38107501,31.52454256
98,6e0cf6a4-a184-4501-b67f-9ad6fef1d442,2/16/2024 5:57:38 PM,cswaldro_USG,2/16/2024 5:57:38 PM,cswaldro_USG,2/16/2024 5:55:00 PM,Kristina_Hefferle,,Alapaha River WMA,,10,12:55,22,46,0.5,0,0,0-5,51-75,Dry,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:57,0,,,Yes,Changed_SD_card,,No,-83.36347988,31.5275395
99,fad03b8f-1012-47cd-9512-af3d4ad06886,2/16/2024 6:50:59 PM,cswaldro_USG,2/16/2024 6:52:04 PM,cswaldro_USG,2/16/2024 6:19:00 PM,other,Cole Harmond,Alapaha River WMA,,3,13:19,21,48,0,20,41,26-50,51-75,,Yes,Pseudacris crucifer,calling adult,,0,Pseudacris ocularis,calling adult,,1,Pseudacris nigrita,calling adult,,,Pseudacris ocularis,adult,,12,Pseudacris ornata,egg,,18,Ambystoma tigrinum,egg,,29,Rana sphenocephala,calling adult,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,37,28,,,,,13:51,38,Other beetle larvae with large jaws - sweep10,,No,Changed_SD_card,,Yes,-83.35612603,31.53620415
100,d76f26bf-edb6-4905-83b9-9aa1cbb2b7c4,2/16/2024 7:22:57 PM,knh01184_USG,2/16/2024 7:22:57 PM,knh01184_USG,2/16/2024 6:44:00 PM,"Jade_Samples,Mia_Cinello-Smith,other",KK Hiten,Alapaha River WMA,,39,13:44,22,73,0.8,603,57,26-50,6-25,,Yes,Pseudacris nigrita,calling adult,,1,Pseudacris ocularis,calling adult,,1,Pseudacris nigrita,egg,,37,Pseudacris ornata,egg,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:13,111,,,Yes,Changed_SD_card,,Yes,-83.359385,31.49745
101,112af546-cbc9-4a31-a0e8-602fd296581b,2/16/2024 7:41:36 PM,cswaldro_USG,2/16/2024 7:41:36 PM,cswaldro_USG,2/16/2024 7:12:00 PM,other,Cole Harmond,Alapaha River WMA,,4,14:11,20,58,0,20,49,26-50,51-75,,Yes,Pseudacris crucifer,calling adult,,1,Pseudacris ornata,calling adult,,1,Ambystoma tigrinum,egg,,12,Pseudacris ornata,egg,,13,Anaxyrus terrestris,larvae,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,,14:41,26,,,No,Changed_SD_card,,Yes,-83.34855641,31.53539634
102,f1b80daf-df1b-4c7f-97a7-426005c4b96e,2/16/2024 8:27:55 PM,cswaldro_USG,2/16/2024 8:27:55 PM,cswaldro_USG,2/16/2024 7:57:00 PM,other,,Alapaha River WMA,,29,14:56,19,607,1,20,36,6-25,75-100,,Yes,Rana sphenocephala,adult,,1,Pseudacris ornata,calling adult,,25,Pseudacris nigrita,calling adult,,29,Pseudacris crucifer,calling adult,,34,Rana sphenocephala,adult,,41,,,,,Pseudacris ocularis,calling adult,,5,Pseudacris ocularis,calling adult,,16,Pseudacris ocularis,adult,,17,,,,,,,,,,,,,,,,,,,,,,,,,,27,,7,,,,,15:27,50,,,Yes,Changed_SD_card,,Yes,-83.35404349,31.51605051
103,775c9935-2197-4937-bb20-de5e36ffd5d0,2/16/2024 9:09:45 PM,cswaldro_USG,2/16/2024 9:09:45 PM,cswaldro_USG,2/16/2024 8:39:00 PM,other,John harmond,Alapaha River WMA,,23,15:37,61,77,0,50,39,51-75,6-25,,Yes,Rana sphenocephala,calling adult,,5,Pseudacris ocularis,calling adult,,5,Pseudacris crucifer,calling adult,,10,Pseudacris ornata,egg,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,16:09,67,,,Yes,Changed_SD_card,,Yes,-83.35774159,31.51624358
104,75f68ac7-97bf-4edf-aa06-b389ddd32ffc,2/16/2024 10:30:18 PM,knh01184_USG,2/16/2024 10:30:18 PM,knh01184_USG,2/16/2024 10:00:00 PM,"Mia_Cinello-Smith,Jade_Samples,other",KK Hiten,Alapaha River WMA,,31,17:03,18,70,0,40,40,75-100,75-100,,Yes,Rana sphenocephala,calling adult,,1,Pseudacris ornata,calling adult,,1,Pseudacris crucifer,calling adult,,1,Pseudacris ocularis,calling adult,,1,Scaphiopus holbrookii,egg,,28,Ambystoma tigrinum,egg,,41,Rana sphenocephala,egg,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:29,108,Found half eaten Rana sphenocephala,,Yes,"Changed_SD_card,Unit_working_and_unchanged",,Yes,-83.3462533333333,31.5142666666667
105,a8c1f38c-04f9-4d76-b7de-59d50f6cbe25,2/16/2024 11:03:25 PM,vkinney_USG,2/16/2024 11:03:25 PM,vkinney_USG,2/16/2024 6:20:00 PM,Vanessa_Terrell,,Alapaha River WMA,,3,13:21,20,53,0.3,20,45,26-50,75-100,Mostly just ditch has water and the large open area under power lines,Yes,Pseudacris ocularis,calling adult,,0,Pseudacris nigrita,calling adult,,0,Pseudacris crucifer,calling adult,,0,Ambystoma tigrinum,egg,,24,Pseudacris ornata,calling adult,,30,Rana sphenocephala,egg,,43,Rana sphenocephala,calling adult,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,23,,,,,13:50,102,"Roxana dinette’s, Vanessa took notes",,Yes,Changed_SD_card,,Yes,-83.3562782968149,31.5363863806
106,83856d48-7a94-462e-b864-94b092cf023e,2/16/2024 11:03:31 PM,vkinney_USG,2/16/2024 11:03:31 PM,vkinney_USG,2/16/2024 7:07:00 PM,"Vanessa_Terrell,other",Roxana,Alapaha River WMA,,4,14:12,20,59,0,30,40,0-5,75-100,Wetland area pond % low confidence ,Yes,Pseudacris ornata,calling adult,,1,Pseudacris ocularis,calling adult,,1,Pseudacris nigrita,calling adult,,1,Pseudacris crucifer,calling adult,,16,Eurycea quadridigitata,larvae,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,52,,,,,14:42,124,,,Yes,Changed_SD_card,,Yes,-83.3487366282168,31.5353891035294
107,82ec4ebf-99b8-4247-af67-e5b6d3466b02,2/16/2024 11:03:39 PM,vkinney_USG,2/16/2024 11:03:39 PM,vkinney_USG,2/16/2024 7:57:00 PM,Vanessa_Terrell,,Alapaha River WMA,,29,14:57,19,63,0.4,206,300,6-25,75-100,,Yes,Pseudacris ocularis,calling adult,,2,Pseudacris nigrita,calling adult,,45,Pseudacris ornata,calling adult,,62,Rana sphenocephala,egg,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,15:27,106,,,Yes,Changed_SD_card,,Yes,-83.3535048557957,31.5159316973401
108,15846334-8f14-4272-8052-57bdde2be86d,2/16/2024 11:03:53 PM,vkinney_USG,2/16/2024 11:03:53 PM,vkinney_USG,2/16/2024 9:38:00 PM,"Vanessa_Terrell,other",Cole,Alapaha River WMA,,8,16:39,18,83,0,1,15,75-100,26-50,Only very small area of the ditch has water.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,6,,,,,16:43,8,,,Yes,Changed_SD_card,,Yes,-83.3566485638437,31.5266538041121
109,bdf4b3df-dd21-4517-a088-828cba754620,2/16/2024 11:03:59 PM,vkinney_USG,2/16/2024 11:03:59 PM,vkinney_USG,2/16/2024 10:07:00 PM,"Vanessa_Terrell,other",Cole Harmon (AF),Alapaha River WMA,,18,17:07,15,85,5,70,45,0-5,51-75,,Yes,Pseudacris crucifer,calling adult,,2,Rana sphenocephala,larvae,,3,Anaxyrus terrestris,larvae,,3,Eurycea quadridigitata,larvae,,5,Pseudacris ocularis,calling adult,,6,Eurycea quadridigitata,larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,17:37,24,,,Yes,"Changed_SD_card,Changed_batteries",Was not working when we got here.,Yes,-83.3678860031845,31.5201399615329
110,d49708c5-302a-42f1-ac49-4c47e16db61b,2/16/2024 11:04:45 PM,kfh39602_USG,2/16/2024 11:04:45 PM,kfh39602_USG,2/16/2024 4:48:00 PM,"Kristina_Hefferle,other",Roxana,Alapaha River WMA,,15,11:47,21,52,0.4,60,30,26-50,51-75,,Yes,Pseudacris ocularis,calling adult,,1,Rana sphenocephala,egg,,25,Pseudacris crucifer,calling adult,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:17,108,,,Yes,Changed_SD_card,,Yes,-83.3809026027055,31.5240617994728
111,9ba84384-6ed4-4a3f-b0f2-aed3a7eb5520,2/16/2024 11:04:56 PM,kfh39602_USG,2/16/2024 11:04:56 PM,kfh39602_USG,2/16/2024 8:39:00 PM,"Kristina_Hefferle,other",Roxana,Alapaha River WMA,,23,15:39,15,89,0.4,50,30,26-50,6-25,,Yes,Pseudacris ocularis,calling adult,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:09,114,,,Yes,Changed_SD_card,,Yes,-83.3587223349658,31.515949984097
112,c3ffa0e1-beba-46a6-976b-e099baeb5962,2/16/2024 11:05:09 PM,kfh39602_USG,2/16/2024 11:05:09 PM,kfh39602_USG,2/16/2024 9:37:00 PM,"Kristina_Hefferle,other",Roxana,Alapaha River WMA,,8,16:38,,,,5,15,6-25,0-5,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:45,21,,,Yes,Changed_SD_card,,Yes,-83.3567171628038,31.5264396104689
113,ed72356e-249d-493e-a276-6c22a0510467,2/16/2024 11:06:19 PM,kfh39602_USG,2/16/2024 11:06:19 PM,kfh39602_USG,2/16/2024 10:07:00 PM,Kristina_Hefferle,,Alapaha River WMA,,18,17:05,15,,,60,40,6-25,0-5,,Yes,Pseudacris crucifer,calling adult,,8,Pseudacris ocularis,calling adult,,9,Eurycea quadridigitata,larvae,,11,Pseudacris crucifer,adult,,14,Rana sphenocephala,larvae,,16,Rana sphenocephala,calling adult,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,,,,,,,17:36,66,,,Yes,"Changed_batteries,Changed_SD_card",,Yes,-83.3678476241862,31.5201647295109
114,ecaadae1-c71e-4764-8429-b630c596dcf2,2/16/2024 11:38:43 PM,mrd13684_USG,2/16/2024 11:38:43 PM,mrd13684_USG,2/16/2024 5:41:00 PM,other,Andie Crenshaw and Madison Dacus,Alapaha River WMA,,41,12:41,23,64,0.9,35,35,6-25,0-5,,Yes,Rana sphenocephala,calling adult,,,Pseudacris crucifer,calling adult,,,Pseudacris ocularis,calling adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,13,,,,,,13:11,72,,,No,Unit_working_and_unchanged,,Yes,-83.3476766265106,31.4991636900156
115,9ad41b73-6497-4d73-b8fe-ab68f048120e,2/16/2024 11:38:51 PM,mrd13684_USG,2/16/2024 11:38:51 PM,mrd13684_USG,2/16/2024 5:41:00 PM,other,Andie Crenshaw and Madison Dacus,Alapaha River WMA,,41,12:41,23,64,0.9,35,35,6-25,0-5,,Yes,Rana sphenocephala,calling adult,,,Pseudacris crucifer,calling adult,,,Pseudacris ocularis,calling adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,13,,,,,,13:11,72,,,No,Unit_working_and_unchanged,,Yes,-83.3476766265106,31.4991636900156
116,48b03092-b6c1-4fb7-bc6a-7cb3c34c00ef,2/16/2024 11:38:55 PM,mrd13684_USG,2/16/2024 11:38:55 PM,mrd13684_USG,2/16/2024 7:39:00 PM,"other,Eva_Kerr,Vanessa_Terrell",Andie Crenshaw and madison Dacus,Alapaha River WMA,,43,14:39,24,81,0,30,15,51-75,26-50,,Yes,Pseudacris ocularis,calling adult,,,Rana sphenocephala,egg,,13,Rana sphenocephala,calling adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:11,71,,,No,Unit_working_and_unchanged,,Yes,-83.3598428254248,31.4950300814903
117,ff9dc40a-4959-44e2-a6ca-3321e69e2f95,2/16/2024 11:38:57 PM,mrd13684_USG,2/16/2024 11:38:57 PM,mrd13684_USG,2/16/2024 10:00:00 PM,other,Andie Crenshaw and madison Dacus,Alapaha River WMA,,31,17:01,18,70,0,40,15,26-50,26-50,"
Shallow and patchy",Yes,Rana sphenocephala,calling adult,,,Pseudacris ocularis,calling adult,,,Pseudacris crucifer,calling adult,,,Rana sphenocephala,egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:30,77,,,Yes,Unit_working_and_unchanged,,Yes,-83.3460225724892,31.5143529244717
118,5054ce59-cafd-4194-8a1c-4b665839bfdb,2/22/2024 8:40:05 PM,agc93487_USG,2/22/2024 8:40:05 PM,agc93487_USG,2/16/2024 4:41:00 PM,other,Andie Crenshaw ,Alapaha River WMA,,42,11:42,23,38,0,95,70,6-25,6-25,,Yes,Pseudacris ocularis,calling adult,,1,Pseudacris crucifer,calling adult,,22,Rana sphenocephala,calling adult,,29,Rana sphenocephala,egg,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,14,,,,,12:25,60,,,No,Unit_working_and_unchanged,,Yes,-83.341926829967,31.4975063503082
119,b2330817-4f3e-487e-91dd-e7f4bef78645,2/22/2024 8:40:12 PM,agc93487_USG,2/22/2024 8:40:12 PM,agc93487_USG,2/16/2024 6:42:00 PM,other,Andie crenshaw,Alapaha River WMA,,39,13:43,22,73,0.8,60,50,51-75,26-50,,Yes,Pseudacris nigrita,calling adult,,1,Pseudacris ocularis,calling adult,,2,Pseudacris crucifer,calling adult,,15,Pseudacris ornata,egg,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:15,61,,,No,Unit_working_and_unchanged,,Yes,-83.3592235577138,31.4973488962571
120,7d357030-04f8-40a5-be66-90c9b64d4fb4,2/22/2024 8:40:15 PM,agc93487_USG,2/22/2024 8:40:15 PM,agc93487_USG,2/16/2024 8:50:00 PM,other,Andie crenshaw,Alapaha River WMA,,30,15:51,13,100,0,90,50,6-25,51-75,,Yes,Pseudacris crucifer,calling adult,,1,Pseudacris nigrita,calling adult,,1,Pseudacris ocularis,adult,,1,Pseudacris ornata,larvae,,24,Ambystoma tigrinum,larvae,,34,Pseudacris nigrita,egg,,37,Rana sphenocephala,calling adult,,40,Pseudacris ornata,calling adult,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,16:24,59,Species 6 Pseudacris spp.,,No,Unit_working_and_unchanged,,Yes,-83.347260067317,31.5163803007748
124,6dfa3d48-f8f4-484d-a64f-787a6d3c8662,3/11/2024 12:54:12 AM,jas16028_USG,3/11/2024 12:54:12 AM,jas16028_USG,2/16/2024 5:42:00 PM,"Jade_Samples,Mia_Cinello-Smith,other",Kay Kay,Alapaha River WMA,,41,12:42,24,60,0,30,35,51-75,51-75,,Yes,Pseudacris crucifer,calling adult,,0,Rana sphenocephala,calling adult,,0,Pseudacris ocularis,calling adult,,31,Scaphiopus holbrookii,egg,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,13:12,84,,,Yes,Changed_SD_card,"Battery 83

",Yes,-83.3476569826918,31.4991723403123
125,e973f4e0-c41f-4276-83de-2028fd869c66,3/11/2024 12:54:19 AM,jas16028_USG,3/11/2024 12:54:19 AM,jas16028_USG,2/16/2024 7:32:00 PM,"Jade_Samples,Mia_Cinello-Smith,other",Kay Kay,Alapaha River WMA,,43,14:40,24,81,0,30,16,51-75,75-100,,Yes,Pseudacris ocularis,calling adult,,0,Pseudacris ornata,calling adult,,0,Rana sphenocephala,adult,,56,Rana sphenocephala,calling adult,,61,Rana sphenocephala,egg,,62,Pseudacris crucifer,calling adult,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:10,,124,,Yes,Changed_SD_card,,Yes,-83.3592446561901,31.4949744649978
126,f597bf62-6ff8-47de-b060-d7f77a951f44,3/11/2024 12:54:30 AM,jas16028_USG,3/11/2024 12:54:30 AM,jas16028_USG,2/16/2024 8:52:00 PM,"Mia_Cinello-Smith,Jade_Samples,other",Kay Kay,Alapaha River WMA,,30,15:50,13,100,0,90,60,26-50,75-100,,Yes,Rana sphenocephala,egg,,12,Pseudacris nigrita,calling adult,,0,Pseudacris ocularis,calling adult,,0,Rana sphenocephala,larvae,,18,Ambystoma tigrinum,larvae,,35,Pseudacris ocularis,adult,,36,Pseudacris ornata,calling adult,,40,Rana sphenocephala,calling adult,,32,Pseudacris ornata,larvae,,42,Pseudacris ornata,egg,,56,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,16:25,121,,,Yes,Changed_SD_card,,Yes,-83.3472800888165,31.5164637684531
133,415d9d77-fda9-4fc4-baf6-489d287a7720,3/15/2024 3:59:31 PM,vkinney_USG,3/15/2024 3:59:31 PM,vkinney_USG,3/15/2024 3:23:00 PM,Vanessa_Terrell,,Alapaha River WMA,,Pond 9,11:24,78,57,3.2,15,30,51-75,51-75,,Yes,Acris gryllus,calling adult,,10,Pseudacris ocularis,calling adult,,16,Pseudacris ornata,larvae,,28,Anaxyrus terrestris,larvae,,46,Pseudacris nigrita,larvae,,53,Rana sphenocephala,larvae,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:54,79,"
",,Yes,Changed_SD_card,,Yes,-83.380953767442,31.5242520324262
134,d42af1c6-24df-42e2-9c6f-0f5e2d4fae08,3/15/2024 5:41:12 PM,vkinney_USG,3/15/2024 5:41:12 PM,vkinney_USG,3/15/2024 5:11:00 PM,"Vanessa_Terrell,other",Roxana,Alapaha River WMA,,3,13:08,82,60,0,20,50,51-75,51-75,,Yes,Pseudacris ornata,larvae,,4,Acris gryllus,calling adult,,9,Ambystoma tigrinum,larvae,,9,Rana sphenocephala,larvae,,12,Pseudacris ocularis,larvae,,41,Eurycea quadridigitata,larvae,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,103,,,Yes,Changed_SD_card,All good,Yes,-83.3559734676146,31.5360733533818
135,fc966c74-bb5c-4fc1-81b1-5459ca8166b7,3/15/2024 6:37:44 PM,vkinney_USG,3/15/2024 6:37:44 PM,vkinney_USG,3/15/2024 5:54:00 PM,"Vanessa_Terrell,other",Roxana AF,Alapaha River WMA,,4,13:56,85,52,1,30,55,0-5,51-75,Have not seen pond full before so ponded % estimated,Yes,Pseudacris nigrita,calling adult,,1,Pseudacris ornata,larvae,,1,Rana sphenocephala,larvae,,15,Eurycea quadridigitata,larvae,,15,Pseudacris nigrita,larvae,,23,Acris gryllus,calling adult,,43,Pseudacris ocularis,adult,,52,Pseudacris nigrita,adult,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,14:26,72,,,Yes,Changed_SD_card,,Yes,-83.3498143645781,31.535479891632
136,64fdefe7-269d-4559-80ce-d4d2edb785d8,3/15/2024 7:18:20 PM,vkinney_USG,3/15/2024 7:18:20 PM,vkinney_USG,3/15/2024 6:46:00 PM,"Vanessa_Terrell,other",Roxana AF,Alapaha River WMA,,29,14:46,85,56,2.4,20,30,0-5,75-100,,Yes,Eurycea quadridigitata,larvae,,14,Pseudacris ocularis,calling adult,,125,Acris gryllus,larvae,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,34,,,,,15:16,161,"
",,Yes,Changed_SD_card,,Yes,-83.3541040082675,31.5161186448374
137,2d8132b8-b175-488f-8d52-6841da2f8c7b,3/15/2024 8:49:43 PM,knh01184_USG,3/15/2024 8:49:43 PM,knh01184_USG,3/15/2024 3:22:00 PM,"Mia_Cinello-Smith,other",KK Hiten,Alapaha River WMA,,42,11:22,23,65,0.6,90,75,0-5,26-50,,Yes,Hyla femoralis,calling adult,,2,Pseudacris ocularis,calling adult,,1,Rana sphenocephala,calling adult,,5,Rana sphenocephala,larvae,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,11:52,73,Juvenile turtle found on sweep 38,,Yes,Changed_SD_card,,Yes,-83.3320115,31.467906
138,e043d712-a33c-46ad-80c3-46b5f53a2479,3/15/2024 8:50:01 PM,knh01184_USG,3/15/2024 8:50:01 PM,knh01184_USG,3/15/2024 5:17:00 PM,"Mia_Cinello-Smith,other",KK Hiten,Alapaha River WMA,,39,13:22,28,53,1.8,80,47,26-50,26-50,,Yes,Acris gryllus,calling adult,,6,Pseudacris ocularis,larvae,,6,Acris gryllus,calling adult,,5,Hyla femoralis,calling adult,,13,Pseudacris nigrita,larvae,,13,Pseudacris ornata,larvae,,14,Rana sphenocephala,larvae,,16,Acris gryllus,adult,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,13:52,44,,,Yes,Changed_SD_card,,Yes,-83.3593783333333,31.497585
139,92564c6c-11f0-4c5d-a45a-480240bba737,3/15/2024 8:50:15 PM,knh01184_USG,3/15/2024 8:50:15 PM,knh01184_USG,3/15/2024 7:16:00 PM,"Mia_Cinello-Smith,other",KK Hiten,Alapaha River WMA,,30,15:20,30,501,1.4,85,45,26-50,6-25,,Yes,Pseudacris nigrita,calling adult,,0,Pseudacris ornata,larvae,,2,Pseudacris ocularis,calling adult,,5,Anaxyrus terrestris,larvae,,6,Acris gryllus,calling adult,,15,Rana sphenocephala,calling adult,,43,Pseudacris nigrita,calling adult,,44,Hyla femoralis,calling adult,,79,Hyla gratiosa,calling adult,,79,,,,,,,,,,,,,,,,,,,,,,,,,,16,,2,,,,,15:50,79,,,Yes,Changed_SD_card,,Yes,-83.3474816666667,31.5164166666667
140,63f6eeae-9b18-458c-b31e-eeafc250ca9c,3/15/2024 9:36:52 PM,vkinney_USG,3/15/2024 9:36:52 PM,vkinney_USG,3/15/2024 8:56:00 PM,"Vanessa_Terrell,other",Roxana af,Alapaha River WMA,,18,16:57,32,51,0.9,75,40,6-25,26-50,,Yes,Rana sphenocephala,larvae,,3,Eurycea quadridigitata,larvae,,5,Pseudacris nigrita,calling adult,,1,Pseudacris nigrita,larvae,,7,Rana sphenocephala,adult,,12,Pseudacris ocularis,calling adult,,17,Pseudacris ornata,larvae,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,17:27,73,,,Yes,Changed_batteries,,Yes,-83.3688388104549,31.520889929185
141,b928e7b1-f874-4c1a-99a0-f54520da46fc,3/15/2024 10:15:56 PM,prh01934_USG,3/15/2024 10:15:56 PM,prh01934_USG,3/15/2024 3:19:00 PM,"Vanessa_Terrell,Eva_Kerr,other","Taylor, Paul",Alapaha River WMA,,15,11:23,28,596,0,15,30,6-25,6-25,,No,Acris gryllus,calling adult,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:54,79,,,Yes,Changed_SD_card,,Yes,-83.3808695156766,31.5245082485745
142,b79c6749-d82c-43b5-bcb2-2f3442200024,3/15/2024 10:15:57 PM,prh01934_USG,3/15/2024 10:15:57 PM,prh01934_USG,3/15/2024 4:22:00 PM,"Eva_Kerr,other",Taylor,Alapaha River WMA,,10,12:23,,,,0,0,6-25,75-100,,Yes,Acris gryllus,juvenile,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:25,0,,,No,Retrieved_ARD_unit,Pulled ard because pond dry,No,-83.36342035691,31.5276318622554
143,3e9c661f-3a83-4152-a9b4-cab334cd21fe,3/15/2024 10:16:03 PM,prh01934_USG,3/15/2024 10:16:03 PM,prh01934_USG,3/15/2024 5:10:00 PM,"Vanessa_Terrell,Eva_Kerr,other","Taylor Moore, Paul Hassel",Alapaha River WMA,,10,13:08,30,56,0.8,20,40,26-50,51-75,,Yes,Pseudacris ornata,larvae,,3,Rana sphenocephala,larvae,,18,Acris gryllus,adult,,,Eurycea quadridigitata,larvae,,35,Ambystoma tigrinum,larvae,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:39,56,,,Yes,Changed_SD_card,,Yes,-83.3562725768018,31.5365525980746
